name,launch,years,carrierRocket,launchSite,Block,№,SVN,PRN,Slot,Retired,link
USA-132,23 July 1997,17,Delta II 7925-9.5[44],CCAFS LC-17A,IIR,2,43,13,F3,Operational,http://en.wikipedia.org/wiki/USA-132
USA-135,6 November 1997,17,Delta II 7925-9.5,CCAFS LC-17A,IIA,19[45],38,8,A3,Operational,http://en.wikipedia.org/wiki/USA-135
USA-145,7 October 1999,15,Delta II 7925-9.5[46],CCAFS SLC-17A,IIR,3,46,11,D5,Operational,http://en.wikipedia.org/wiki/USA-145
USA-150,11 May 2000,14,Delta II 7925-9.5[47],CCAFS SLC-17A,IIR,4,51,20,E1,Operational,http://en.wikipedia.org/wiki/USA-150
USA-151,16 July 2000,14,Delta II 7925-9.5[48],CCAFS SLC-17A,IIR,5,44,28,B3,Operational,http://en.wikipedia.org/wiki/USA-151
USA-154,10 November 2000,14,Delta II 7925-9.5[49],CCAFS SLC-17A,IIR,6,41,14,F1,Operational,http://en.wikipedia.org/wiki/USA-154
USA-156,30 January 2001,13,Delta II 7925-9.5[50],CCAFS SLC-17A,IIR,7,54,18,E4,Operational,http://en.wikipedia.org/wiki/USA-156
USA-166,29 January 2003,11,Delta II 7925-9.5[51],CCAFS SLC-17B,IIR,8,56,16,B1,Operational,http://en.wikipedia.org/wiki/USA-166
USA-168,31 March 2003,11,Delta II 7925-9.5[52],CCAFS SLC-17A,IIR,9,45,21,D3,Operational,http://en.wikipedia.org/wiki/USA-168
USA-175,21 December 2003,11,Delta II 7925-9.5[53],CCAFS SLC-17A,IIR,10,47,22,E2,Operational,http://en.wikipedia.org/wiki/USA-175
USA-177,20 March 2004,10,Delta II 7925-9.5[54],CCAFS SLC-17B,IIR,11,59,19,C3,Operational,http://en.wikipedia.org/wiki/USA-177
USA-178,23 June 2004,10,Delta II 7925-9.5[55],CCAFS SLC-17B,IIR,12,60,23,F4,Operational,http://en.wikipedia.org/wiki/USA-178
USA-180,6 November 2004,10,Delta II 7925-9.5[56],CCAFS SLC-17B,IIR,13,61,2,D1,Operational,http://en.wikipedia.org/wiki/USA-180
USA-183,26 September 2005,9,Delta II 7925-9.5[57],CCAFS SLC-17A,IIRM,1,53,17,C4,Operational,http://en.wikipedia.org/wiki/USA-183
USA-190,25 September 2006,8,Delta II 7925-9.5[58],CCAFS SLC-17A,IIRM,2,52,31,A2,Operational,http://en.wikipedia.org/wiki/USA-190
USA-192,17 November 2006,8,Delta II 7925-9.5[59],CCAFS SLC-17A,IIRM,3,58,12,B4,Operational,http://en.wikipedia.org/wiki/USA-192
USA-196,"17 October 2007
12:23",,Delta II 7925-9.5[60],CCAFS SLC-17A,IIRM,4,55,15,F2,Operational,
USA-199,20 December 2007,7,Delta II 7925-9.5[61],CCAFS SLC-17A,IIRM,5,57,29,C1,Operational,http://en.wikipedia.org/wiki/USA-199
USA-201,15 March 2008,6,Delta II 7925-9.5[62],CCAFS SLC-17A,IIRM,6,48,7,A4,Operational,http://en.wikipedia.org/wiki/USA-201
USA-203,24 March 2009,2,Delta II 7925-9.5[63],CCAFS SLC-17A,IIRM,7,49,"01
27
30
06
NA",B6,Unhealthy,http://en.wikipedia.org/wiki/USA-203
USA-206,17 August 2009,5,Delta II 7925-9.5,CCAFS SLC-17A,IIRM,8,50,5,E3,Operational,http://en.wikipedia.org/wiki/USA-206
USA-213,28 May 2010,4,"Delta IV-M+(4,2)",CCAFS SLC-37B,IIF,1,62,25,B2,Operational,http://en.wikipedia.org/wiki/USA-213
USA-232,16 July 2011,3,"Delta IV-M+(4,2)",CCAFS SLC-37B,IIF,2,63,1,D2,Operational,http://en.wikipedia.org/wiki/USA-232
USA-239,4 October 2012,2,"Delta IV-M+(4,2)",CCAFS SLC-37B,IIF,3,65,24,A1,Operational,http://en.wikipedia.org/wiki/USA-239
USA-242,15 May 2013,1,Atlas V 401,CCAFS SLC-41,IIF,4,66,27,C2,Operational,http://en.wikipedia.org/wiki/USA-242
USA-248,21 February 2014,0,"Delta IV-M+(4,2)",CCAFS SLC-37B,IIF,5,64,30,A6,Operational,http://en.wikipedia.org/wiki/USA-248
USA-251,17 May 2014,0,"Delta IV-M+(4,2)",CCAFS SLC-37B,IIF,6,67,6,D6,Operational,http://en.wikipedia.org/wiki/USA-251
USA-256,2 August 2014,0,Atlas V 401,CCAFS SLC-41,IIF,7,68,9,F6,Undergoing testing,http://en.wikipedia.org/wiki/USA-256
