name,launch,years,carrierRocket,launchSite,Block,№,SVN,PRN,Slot,Retired,link
Kosmos 2442,25 September 2008,6,Proton-M/DM-2,Baikonur 81/24,M,38,724,III,18,12 February 2014,http://en.wikipedia.org/wiki/Kosmos_2442
Kosmos 2443,25 September 2008,6,Proton-M/DM-2,Baikonur 81/24,M,38,725,III,21,2 August 2014,http://en.wikipedia.org/wiki/Kosmos_2443
Kosmos 2444,25 September 2008,4,Proton-M/DM-2,Baikonur 81/24,M,38,726,III,22,28 November 2012,http://en.wikipedia.org/wiki/Kosmos_2444
Kosmos 2447,25 December 2008,4,Proton-M/DM-2,Baikonur 81/24,M,39,727,I,3,28 November 2012,http://en.wikipedia.org/wiki/Kosmos_2447
Kosmos 2448,25 December 2008,5,Proton-M/DM-2,Baikonur 81/24,M,39,728,I,2,16 October 2013,http://en.wikipedia.org/wiki/Kosmos_2448
Kosmos 2449,25 December 2008,4,Proton-M/DM-2,Baikonur 81/24,M,39,729,I,8,9 September 2012,http://en.wikipedia.org/wiki/Kosmos_2449
Kosmos 2456,14 December 2009,5,Proton-M/DM-2,Baikonur 81/24,M,40,730,I,1,Operational,http://en.wikipedia.org/wiki/Kosmos_2456
Kosmos 2457,14 December 2009,5,Proton-M/DM-2,Baikonur 81/24,M,40,733,I,6,Operational,http://en.wikipedia.org/wiki/Kosmos_2457
Kosmos 2458,14 December 2009,5,Proton-M/DM-2,Baikonur 81/24,M,40,734,I,5,Operational,http://en.wikipedia.org/wiki/Kosmos_2458
Kosmos 2459,1 March 2010,4,Proton-M/DM-2,Baikonur 81/24,M,41,731,III,22,Operational,http://en.wikipedia.org/wiki/Kosmos_2459
Kosmos 2460,1 March 2010,4,Proton-M/DM-2,Baikonur 81/24,M,41,732,III,23,Operational,http://en.wikipedia.org/wiki/Kosmos_2460
Kosmos 2461,1 March 2010,4,Proton-M/DM-2,Baikonur 81/24,M,41,735,III,24,Operational,http://en.wikipedia.org/wiki/Kosmos_2461
Kosmos 2464,2 September 2010,4,Proton-M/DM-2,Baikonur 81/24,M,42,736,II,9,Operational,http://en.wikipedia.org/wiki/Kosmos_2464
Kosmos 2465,2 September 2010,4,Proton-M/DM-2,Baikonur 81/24,M,42,737,II,12,Operational,http://en.wikipedia.org/wiki/Kosmos_2465
Kosmos 2466,2 September 2010,4,Proton-M/DM-2,Baikonur 81/24,M,42,738,II,16,Operational,http://en.wikipedia.org/wiki/Kosmos_2466
Kosmos 2471,26 February 2011,3,Soyuz-2-1b/Fregat,Plesetsk 43/4,K1,K1S,701K,I,3,Unhealthy,http://en.wikipedia.org/wiki/Kosmos_2471
Kosmos 2474,2 October 2011,3,Soyuz-2-1b/Fregat,Plesetsk 43/4,M,45S,742,I,4,Operational,http://en.wikipedia.org/wiki/Kosmos_2474
Kosmos 2475,4 November 2011,3,Proton-M/Briz-M,Baikonur 81/24,M,44,743,I,8,Operational,http://en.wikipedia.org/wiki/Kosmos_2475
Kosmos 2476,4 November 2011,3,Proton-M/Briz-M,Baikonur 81/24,M,44,744,I,3,Operational,http://en.wikipedia.org/wiki/Kosmos_2476
Kosmos 2477,4 November 2011,3,Proton-M/Briz-M,Baikonur 81/24,M,44,745,I,7,Operational,http://en.wikipedia.org/wiki/Kosmos_2477
Kosmos 2478,28 November 2011,3,Soyuz-2-1b/Fregat,Plesetsk 43/4,M,46S,746,III,17,Operational,http://en.wikipedia.org/wiki/Kosmos_2478
Kosmos 2485,26 April 2013,1,Soyuz-2-1b/Fregat,Plesetsk 43/4,M,47S,747,I,2,Operational,http://en.wikipedia.org/wiki/Kosmos_2485
Kosmos 2494,23 March 2014,0,Soyuz-2-1b/Fregat,Plesetsk 43/4,M,48S,754,III,18,Operational,http://en.wikipedia.org/wiki/Kosmos_2494
Kosmos 2500,14 June 2014,0,Soyuz-2-1b/Fregat,Plesetsk 43/4,M,49S,755,III,21,Operational,http://en.wikipedia.org/wiki/Kosmos_2500
